"","country"
"1","Taiwan"
"2","Afghanistan"
"3","Albania"
"4","Algeria"
"5","Argentina"
"6","Armenia"
"7","Australia"
"8","Austria"
"9","Azerbaijan"
"10","Barbados"
"11","Belarus"
"12","Belgium"
"13","Belize"
"14","Benin"
"15","Bermuda"
"16","Bosnia and Herzegovina"
"17","Botswana"
"18","Brazil"
"19","Brunei"
"20","Bulgaria"
"21","Burkina Faso"
"22","Cape Verde"
"23","Cambodia"
"24","Cameroon"
"25","Canada"
"26","Chile"
"27","China"
"28","Colombia"
"29","Congo, Dem. Rep."
"30","Costa Rica"
"31","Cote d'Ivoire"
"32","Croatia"
"33","Cyprus"
"34","Czech Republic"
"35","Denmark"
"36","Ecuador"
"37","Egypt"
"38","El Salvador"
"39","Estonia"
"40","Ethiopia"
"41","Fiji"
"42","Finland"
"43","France"
"44","Georgia"
"45","Germany"
"46","Ghana"
"47","Greece"
"48","Guatemala"
"49","Honduras"
"50","Hong Kong, China"
"51","Hungary"
"52","Iceland"
"53","India"
"54","Indonesia"
"55","Iran"
"56","Ireland"
"57","Israel"
"58","Italy"
"59","Jamaica"
"60","Japan"
"61","Jordan"
"62","Kazakhstan"
"63","Kenya"
"64","South Korea"
"65","Kuwait"
"66","Krygyz Republic"
"67","Latvia"
"68","Lebanon"
"69","Lithuania"
"70","Luxembourg"
"71","Macao, China"
"72","Madagascar"
"73","Malawi"
"74","Malaysia"
"75","Maldives"
"76","Mali"
"77","Malta"
"78","Mauritania"
"79","Mauritius"
"80","Mexico"
"81","Moldova"
"82","Montenegro"
"83","Morocco"
"84","Namibia"
"85","Nepal"
"86","Netherlands"
"87","New Zealand"
"88","Niger"
"89","North Macedonia"
"90","Norway"
"91","Oman"
"92","Pakistan"
"93","Panama"
"94","Peru"
"95","Philippines"
"96","Poland"
"97","Portugal"
"98","Romania"
"99","Russia"
"100","Rwanda"
"101","Saudi Arabia"
"102","Senegal"
"103","Serbia"
"104","Slovak Republic"
"105","Slovenia"
"106","South Africa"
"107","Spain"
"108","Sri Lanka"
"109","Sweden"
"110","Switzerland"
"111","Tanzania"
"112","Thailand"
"113","Togo"
"114","Tunisia"
"115","Turkey"
"116","Uganda"
"117","Ukraine"
"118","United Kingdom"
"119","United States"
"120","Uruguay"
"121","Venezuela"
"122","Yemen"
"123","Zimbabwe"
