Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,260330,..,..,..,365982,..,..
Afghanistan,AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,26211,27648,..,..,..,..,95185,..,97504,..,..,262874,..,..,..,370610,..,..
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2525,..,..,..,4600,..,..
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,0,..,..,19,..,..,..,28,..,..
Albania,ALB,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,123302,121519,110159,99485,94527,84629,89231,..
Albania,ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,40125,40859,42160,43600,53014,63257,74747,86863,90606,93139,122326,134877,160839,174851,176003,162659,148597,141850,131833,139043,..
Albania,ALB,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,45955,47747,46423,43710,42616,42664,43749,..
Albania,ALB,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,0,0,0,0,0,..,..,..,..,..,..,2094,2628,3772,4553,3945,3551,2464,1412,1865,..
Algeria,DZA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,985731,818807,782639,872810,947156,996087,..,..
Algeria,DZA,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,549009,624788,682775,716452,792121,817968,901562,..,1149666,1144271,1188562,1210272,1252579,1245478,1289474,1439594,1545523,1600676,..,..
Algeria,DZA,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,1607,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,465,433,407,455,508,558.5,553.5,..
Andorra,AND,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,267,306,331,342,401,..,459,..,..,..,491,538,498,501,548,590,629,633,..
Andorra,AND,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,28,26,52,39,32,24,35,..
Andorra,AND,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,15,15,18,23,26,25.5,23.5,..
Angola,AGO,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,12566,48184,37547,48184,48694,..,..,..,..,142798,..,218679,..,221037,253287,..,..,..,..
Angola,AGO,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,..,..,1037,1170,1068,1792,..,..,..,..,..,..,..,..
